Genre,Year,Stream
Rock,1977,313806838
Rock,1979,292139107
Rock,1979,123720230
Rock,1979,94089763
Rock,1974,75028394
Rock,1982,51779427
Rock,1974,47289833
Rock,2005,969429694
R&B/Soul,1995,14602380
Dance/Electronic,2000,14602380
Pop,2015,30634973
Rock,2004,649504490
Pop,2011,1318267448
Jazz/Latin,2018,337622805
Dance/Electronic,2017,15092838
R&B/Soul,1989,200929081
R&B/Soul,1991,180004883
R&B/Soul,1985,162967055
R&B/Soul,2004,82503383
Pop,2004,82503383
R&B/Soul,1995,25066191
Rock,2017,74108200
Dance/Electronic,2002,74108200
Pop,2010,20850494
Indie/Folk,2018,23680851
Pop,1969,19337506
Dance/Electronic,2017,19337506
Dance/Electronic,2017,119383129
Jazz/Latin,2015,62563413
Pop,2014,98928593
Pop,2005,98928593
Dance/Electronic,1997,13843423
Rock,2006,1937579
Dance/Electronic,2003,88167744
Metal,2000,18623819
Metal,1987,1397611294
Metal,1991,732170807
Metal,1987,885393374
Metal,1991,538458697
Metal,1991,394352271
Metal,1987,842826610
Metal,1991,175405332
Metal,1987,280594347
Dance/Electronic,2010,387515049
Indie/Folk,2005,725679412
Indie/Folk,2005,267271313
