Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
Ghosttown,2015,0.04,0.54,0.55,0.12,0.04,0.09
Bang My Head (feat. Sia & Fetty Wap),2015,0.05,0.6,0.87,0.1,0.08,0.59
Bloodstream,2015,0.2,0.48,0.59,0.06,0.05,0.27
Living For Love,2015,0.04,0.67,0.79,0.25,0.09,0.39
Baby Don't Lie,2015,0.01,0.69,0.55,0.1,0.03,0.26
Don't Be so Hard on Yourself,2015,0.06,0.57,0.82,0.16,0.03,0.66
Steal My Girl,2015,0,0.47,0.76,0.14,0.04,0.52
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",2015,0.01,0.68,0.85,0.06,0.06,0.93
We Are Here,2015,0.43,0.64,0.67,0.08,0.04,0.08
St Jude,2015,0.75,0.26,0.43,0.11,0.03,0.09
Yesterday (feat. Bebe Rexha),2015,0.02,0.57,0.78,0.33,0.03,0.28
Time of Our Lives,2015,0.09,0.72,0.8,0.69,0.06,0.72
Sparks,2015,0.04,0.85,0.88,0.1,0.06,0.79
Mr. Put It Down,2015,0.01,0.8,0.78,0.04,0.18,0.83
Legendary Lovers,2015,0.02,0.62,0.84,0.08,0.08,0.39
Spark The Fire,2015,0.08,0.88,0.8,0.2,0.06,0.54
Run Run Run,2015,0.45,0.28,0.37,0.11,0.04,0.08
Let Me Be Your Lover,2015,0.01,0.72,0.9,0.06,0.13,0.88
Dangerous,2015,0,0.9,0.53,0.08,0.05,0.65
L.A.LOVE (la la),2015,0.02,0.48,0.39,0.26,0.09,0.27
The Hills,2016,0.07,0.58,0.56,0.14,0.05,0.14
Love Yourself,2016,0.84,0.61,0.38,0.28,0.44,0.52
Cake By The Ocean,2016,0.15,0.77,0.75,0.04,0.05,0.9
Don't Let Me Down,2016,0.16,0.53,0.87,0.14,0.17,0.42
In the Name of Love,2016,0.11,0.5,0.52,0.45,0.04,0.17
Into You,2016,0.02,0.62,0.73,0.14,0.11,0.37
This Is What You Came For,2016,0.2,0.63,0.93,0.15,0.03,0.47
Million Reasons,2016,0.49,0.67,0.42,0.11,0.04,0.15
Needed Me,2016,0.11,0.67,0.31,0.08,0.24,0.3
7 Years,2016,0.29,0.77,0.47,0.39,0.05,0.34
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2016,0.01,0.67,0.83,0.19,0.07,0.7
